created_at,lat_1_GPS,long_1_GPS,2_Panel_trap_number,3_Males_Trapped,4_Females_trapped,5_Note,trap_visit_date
2019-08-23 14:47:33.773000+10:00,,,010,0,1,,2019-08-23
2019-08-23 14:48:31.659000+10:00,,,011,1,0,,2019-08-23
2019-08-23 14:49:32.271000+10:00,,,012,1,2,,2019-08-23
2019-08-23 14:50:20.153000+10:00,,,013,0,0,,2019-08-23
2019-08-23 14:51:39.439000+10:00,,,014,1,0,,2019-08-23
2019-08-23 14:52:57.544000+10:00,,,015,2,0,,2019-08-23
2019-08-23 14:54:28.546000+10:00,,,016,0,1,,2019-08-23
2019-08-23 14:55:59.846000+10:00,,,017,0,1,,2019-08-23
2019-08-23 14:57:17.992000+10:00,,,018,0,0,,2019-08-23
2019-08-23 15:05:11.736000+10:00,,,019,0,0,lure,2019-08-23
2019-08-23 15:06:16.949000+10:00,,,020,1,1,lure,2019-08-23
2019-08-23 15:07:35.787000+10:00,,,021,1,1,,2019-08-23
2019-08-23 15:08:16.131000+10:00,,,022,1,0,,2019-08-23
2019-08-23 15:08:55.337000+10:00,,,023,0,2,,2019-08-23
2019-08-23 15:09:38.561000+10:00,,,024,0,0,,2019-08-23
2019-08-23 15:10:38.545000+10:00,,,025,2,1,,2019-08-23
2019-08-23 15:11:27.129000+10:00,,,026,0,0,,2019-08-23
2019-08-23 15:12:08.550000+10:00,,,027,1,1,,2019-08-23
2019-08-23 15:13:02.604000+10:00,,,028,2,2,lure,2019-08-23
2019-08-23 15:14:09.072000+10:00,,,029,1,3,,2019-08-23
2019-08-23 15:15:31.956000+10:00,,,030,0,1,lure,2019-08-23
2019-08-28 09:02:03.942000+10:00,,,040,2,0,,2019-08-28
2019-08-28 09:03:11.512000+10:00,,,039,0,0,,2019-08-28
2019-08-28 09:04:04.821000+10:00,,,038,0,0,,2019-08-28
2019-08-28 09:06:08.464000+10:00,,,037,0,1,,2019-08-28
2019-08-28 09:06:37.706000+10:00,,,036,1,0,,2019-08-28
2019-08-28 09:07:27.754000+10:00,,,035,0,0,,2019-08-28
2019-08-28 09:08:17.988000+10:00,,,034,4,0,,2019-08-28
2019-08-28 09:08:56.103000+10:00,,,033,1,0,,2019-08-28
2019-08-28 09:09:40.778000+10:00,,,032,1,1,,2019-08-28
2019-08-28 09:10:35.714000+10:00,,,031,2,1,,2019-08-28
2019-08-28 09:15:38.076000+10:00,,,001,0,0,,2019-08-28
2019-08-28 09:16:43.913000+10:00,,,002,2,2,,2019-08-28
2019-08-28 09:18:43.863000+10:00,,,003,1,0,lure,2019-08-28
2019-08-28 09:20:48.014000+10:00,,,004,1,2,lure,2019-08-28
2019-08-28 09:21:41.899000+10:00,,,005,1,0,,2019-08-28
2019-08-28 09:22:22.736000+10:00,,,006,0,1,,2019-08-28
2019-08-28 09:23:28.312000+10:00,,,007,1,0,lure,2019-08-28
2019-08-28 09:24:50.829000+10:00,,,008,2,0,,2019-08-28
2019-08-28 09:27:57.649000+10:00,,,009,1,1,,2019-08-28
2019-08-28 09:29:42.003000+10:00,,,010,0,0,,2019-08-28
2019-08-28 09:30:20.181000+10:00,,,011,0,1,,2019-08-28
2019-08-28 09:31:08.350000+10:00,,,012,0,0,,2019-08-28
2019-08-28 09:32:05.698000+10:00,,,013,0,2,,2019-08-28
2019-08-28 09:33:02.172000+10:00,,,014,0,0,,2019-08-28
2019-08-28 09:33:53.020000+10:00,,,015,1,0,,2019-08-28
2019-08-28 09:34:55.098000+10:00,,,016,1,1,,2019-08-28
2019-08-28 09:36:05.789000+10:00,,,017,0,0,,2019-08-28
2019-08-28 09:37:11.037000+10:00,,,018,0,0,,2019-08-28
2019-08-28 09:45:46.369000+10:00,,,019,0,2,,2019-08-28
2019-08-28 09:46:17.465000+10:00,,,020,0,0,,2019-08-28
2019-08-28 09:47:16.959000+10:00,,,021,0,1,,2019-08-28
2019-08-28 09:47:42.074000+10:00,,,022,0,0,,2019-08-28
2019-08-28 09:48:23.561000+10:00,,,023,1,1,,2019-08-28
2019-08-28 09:49:10.928000+10:00,,,024,2,2,,2019-08-28
2019-08-28 09:50:23.547000+10:00,,,025,2,0,,2019-08-28
2019-08-28 09:51:18.037000+10:00,,,026,2,2,lure,2019-08-28
2019-08-28 09:52:39.747000+10:00,,,027,0,0,,2019-08-28
2019-08-28 09:53:52.684000+10:00,,,028,0,0,lure,2019-08-28
2019-08-28 09:55:11.705000+10:00,,,029,1,0,,2019-08-28
2019-08-28 09:56:21.921000+10:00,,,030,2,0,,2019-08-28
2019-09-04 08:49:17.251000+10:00,,,040,1,2,,2019-09-04
2019-09-04 08:50:15.734000+10:00,,,039,1,0,lure,2019-09-04
