created_at,lat,lon,trap_id,males,females,note,trap_visit_date
2019-08-07 09:31:10.810000+10:00,,,18,2,2,,2019-08-07
2019-08-07 09:37:51.180000+10:00,,,19,1,0,,2019-08-07
2019-08-07 09:38:52.937000+10:00,,,20,2,0,,2019-08-07
2019-08-07 09:40:01.701000+10:00,,,21,0,1,,2019-08-07
2019-08-07 09:40:48.818000+10:00,,,22,0,0,,2019-08-07
2019-08-07 09:41:46.212000+10:00,,,23,0,2,,2019-08-07
2019-08-07 09:42:36.402000+10:00,,,24,0,1,,2019-08-07
2019-08-07 09:44:03.599000+10:00,,,25,2,1,,2019-08-07
2019-08-07 09:44:48.674000+10:00,,,26,1,0,,2019-08-07
2019-08-07 09:45:14.041000+10:00,,,27,0,0,,2019-08-07
2019-08-07 09:46:13.952000+10:00,,,28,2,1,,2019-08-07
2019-08-07 09:47:17.429000+10:00,,,29,1,1,,2019-08-07
2019-08-07 09:48:35.705000+10:00,,,30,1,0,,2019-08-07
2019-08-21 12:10:32.143000+10:00,,,1,0,2,,2019-08-21
2019-08-21 12:11:29.625000+10:00,,,2,3,5,,2019-08-21
2019-08-21 12:12:13.161000+10:00,13.430341,144.800947,3,3,3,,2019-08-21
2019-08-21 12:12:44.084000+10:00,,,4,1,1,,2019-08-21
2019-08-21 12:13:15.666000+10:00,,,5,0,0,,2019-08-21
2019-08-21 12:13:47.488000+10:00,,,6,2,1,,2019-08-21
2019-08-21 12:14:21.643000+10:00,,,7,1,2,,2019-08-21
2019-08-21 12:14:49.078000+10:00,,,8,2,3,,2019-08-21
2019-08-21 12:15:15.991000+10:00,,,9,1,1,,2019-08-21
2019-08-21 12:15:44.334000+10:00,,,10,1,2,,2019-08-21
2019-08-21 12:16:17.584000+10:00,,,11,0,0,,2019-08-21
2019-08-21 12:17:01.089000+10:00,,,12,0,0,,2019-08-21
2019-08-21 12:17:37.029000+10:00,,,13,0,1,,2019-08-21
2019-08-21 12:18:22.696000+10:00,,,14,1,2,,2019-08-21
2019-08-21 12:18:53.031000+10:00,,,15,0,0,,2019-08-21
2019-08-21 12:19:28.385000+10:00,,,16,0,0,,2019-08-21
2019-08-21 12:20:00.317000+10:00,,,17,2,1,,2019-08-21
2019-08-21 12:20:28.675000+10:00,,,18,1,1,,2019-08-21
2019-08-21 12:21:00.774000+10:00,,,19,1,0,,2019-08-21
2019-08-21 12:21:32.781000+10:00,,,20,1,1,,2019-08-21
2019-08-21 12:22:20.511000+10:00,,,21,0,3,,2019-08-21
2019-08-21 12:22:55.446000+10:00,,,22,0,0,,2019-08-21
2019-08-21 12:23:32.646000+10:00,,,23,1,0,,2019-08-21
2019-08-21 12:24:04.057000+10:00,,,24,1,0,,2019-08-21
2019-08-21 12:24:33.993000+10:00,,,25,0,4,,2019-08-21
2019-08-21 12:25:05.927000+10:00,,,26,0,2,,2019-08-21
2019-08-21 12:25:35.099000+10:00,,,27,0,0,,2019-08-21
2019-08-21 12:26:05.197000+10:00,,,28,1,0,,2019-08-21
